stock,week,model,RMSE,MAE,MedAE,MAPE(%),SMAPE(%),QLIKE
22771,9,"EGARCH(p=1,o=1,q=1,Normal)",0.0004701859303749664,0.0003365711989638572,0.00025123554466640897,33.30365343882581,29.73477363046564,-5.817385780057529
22771,10,"EGARCH(p=1,o=1,q=1,Normal)",0.0006628992771821164,0.0002468188568231493,0.00015910495411947107,32.92040466027732,29.927938615062903,633.6855906369531
22771,11,"EGARCH(p=1,o=1,q=1,Normal)",0.0002818016378989562,0.00020255097705567187,0.00015446685278158785,43.3385355028128,36.59558975571774,271.65311023981945
22771,12,"EGARCH(p=1,o=1,q=1,Normal)",0.00022293098662257285,0.00017062548337676436,0.0001365227738316493,29.681949513267224,26.78143006296182,-6.345155113249817
22771,14,"EGARCH(p=1,o=1,q=1,Normal)",0.00017386586701932614,0.00013323134968998857,0.00011483561375820231,36.750761773454684,32.29716925143525,-6.7513592952067265
22771,15,"EGARCH(p=1,o=1,q=1,Normal)",0.00018186448809960173,0.00013607407912520053,0.00010290085365727233,45.54617556739059,38.64746443720656,-6.894278583914456
22771,16,"EGARCH(p=1,o=1,q=1,Normal)",0.0002288830728573759,0.00017545002156969534,0.00014347387320757875,41.403717212516696,36.11883529869952,-6.627944496057725
22771,17,"EGARCH(p=1,o=1,q=1,Normal)",0.00027770542432640485,0.00019440799083678465,0.00014713022801438315,44.22206227496506,36.99845263531573,-6.5242095130854505
22771,18,"EGARCH(p=1,o=1,q=1,Normal)",0.00015276399518595005,0.00011877272248604994,9.632922128278867e-05,30.517552787152464,27.892529594512723,-6.73751180119697
22771,19,"EGARCH(p=1,o=1,q=1,Normal)",0.0001585645888601185,0.00012297153274590323,9.868757579338536e-05,42.55696522397314,32.52177728229882,-6.799216073539259
22771,20,"EGARCH(p=1,o=1,q=1,Normal)",0.00019378729179652786,0.0001375321177926307,0.00010391130867941676,41.10706657392589,34.170128586530836,-6.730023269589193
22771,21,"EGARCH(p=1,o=1,q=1,Normal)",0.00017497968557592512,0.00012064103538481384,9.102461696722402e-05,40.30427553330338,35.29271060668077,-6.957682779168604
22771,22,"EGARCH(p=1,o=1,q=1,Normal)",0.0001645167783054698,0.00012396303317479477,9.636563500176268e-05,43.67125369783683,36.37092471176571,-6.9611029571072836
22771,23,"EGARCH(p=1,o=1,q=1,Normal)",0.00015321555724657452,0.00010754165021380811,8.024920361352996e-05,48.13707550368363,37.70777988913703,68.6823678425364
22771,24,"EGARCH(p=1,o=1,q=1,Normal)",0.00033487002035991045,0.00016694816198513065,0.00011679397411680446,40.80649707237793,34.683871800023184,426.6623566496329
22771,25,"EGARCH(p=1,o=1,q=1,Normal)",0.00021305586354291401,0.00013325145604584077,9.57088266518898e-05,44.23511028770987,37.73355309574406,113.90235278637337
22771,26,"EGARCH(p=1,o=1,q=1,Normal)",0.0001397331970079807,0.00011051481181326129,9.123664791478688e-05,44.90422218604459,37.59704588051469,-7.0773321093857415
22771,27,"EGARCH(p=1,o=1,q=1,Normal)",0.00016221296122491847,0.000118391681333399,8.893364046351116e-05,44.87349829385738,39.21793663686541,46.86313552107593
22771,28,"EGARCH(p=1,o=1,q=1,Normal)",0.0001928971127878652,0.00013240050121949873,9.95262205443267e-05,39.474233466083284,34.101854693811745,-6.86789824108642
22771,29,"EGARCH(p=1,o=1,q=1,Normal)",0.0001529763050452255,0.00011974688614732845,9.919447794865636e-05,42.295254199080354,36.20388779431566,-6.9642799455105795
22771,30,"EGARCH(p=1,o=1,q=1,Normal)",0.00017485166951784417,0.0001378534146950273,0.00011775984177932224,47.14518654676317,38.437404927340786,-6.811188770751354
22771,31,"EGARCH(p=1,o=1,q=1,Normal)",0.00018878172854962951,0.00013732446840595766,9.762423759641873e-05,58.2103805102003,46.12129567579844,149.71514850951368
22771,32,"EGARCH(p=1,o=1,q=1,Normal)",0.0001746735269265912,0.00012565456282610804,9.617283262325016e-05,50.46777119093823,40.86262677095884,-7.09487223913273
22771,33,"EGARCH(p=1,o=1,q=1,Normal)",0.00017931118426103726,0.00012731186438982636,8.95200708694877e-05,38.878043118902525,34.479431409969585,-6.924534169536865
22771,34,"EGARCH(p=1,o=1,q=1,Normal)",0.00021189479688906013,0.00015627115487685313,0.0001196069291295921,53.61217069527069,44.0921183791721,47.31689233172022
22771,35,"EGARCH(p=1,o=1,q=1,Normal)",0.00015582519518709184,0.00011361266093468301,8.66519358656425e-05,36.648304627640584,32.59135231401438,-6.955458199319183
22771,36,"EGARCH(p=1,o=1,q=1,Normal)",0.00031495242323413347,0.0002231074686326109,0.00016599659925803893,51.20473707344836,40.07658289002546,-6.429587699431113
22771,37,"EGARCH(p=1,o=1,q=1,Normal)",0.00025209831320929457,0.00016076495424718112,0.00011837616804261805,45.014188167684935,38.651623302826806,126.74222830627872
22771,38,"EGARCH(p=1,o=1,q=1,Normal)",0.0001827703789623084,0.0001378066248700449,0.00010728753390829016,45.641640162782295,37.895588939119335,-6.848259507470668
22771,39,"EGARCH(p=1,o=1,q=1,Normal)",0.00018141524450151285,0.00014164781532624966,0.00011665870449360306,31.899351554057187,28.954675181004717,-6.611218831808691
22951,1,"EGARCH(p=1,o=1,q=1,Normal)",0.000206397241693165,0.00014675771037676828,0.00010818942621246245,24.204781336291465,22.74305621890691,-6.355050714631706
22951,2,"EGARCH(p=1,o=1,q=1,Normal)",0.00022319282301378043,0.00016385250742028033,0.00012408476402728117,25.67281203804173,23.944824012257524,-6.307432144218265
22951,3,"EGARCH(p=1,o=1,q=1,Normal)",0.0001818303161748886,0.0001343381996329655,0.0001057384918475646,26.23434007201415,24.523908941527154,-6.5218510896874005
22951,4,"EGARCH(p=1,o=1,q=1,Normal)",0.0003077811854327576,0.00024617321578770094,0.0002027812893613538,25.181184209489526,23.879828113686667,-5.844929361560181
22951,5,"EGARCH(p=1,o=1,q=1,Normal)",0.00012697353921035023,0.00010066262547294542,8.460178572829144e-05,23.41890221498032,21.832067678115273,-6.670167083157806
22951,6,"EGARCH(p=1,o=1,q=1,Normal)",0.0001595521308206608,0.0001204232541146004,0.00010116227970218553,33.765475163058795,30.64329386713846,-6.824953702010504
22951,7,"EGARCH(p=1,o=1,q=1,Normal)",0.0001710515693376444,0.00012513833089064941,9.523882050490508e-05,21.38517462843284,20.56960912949204,-6.4318183206526
22951,8,"EGARCH(p=1,o=1,q=1,Normal)",0.00033584034482930477,0.00022074885801904613,0.00015650890850623397,21.185080766290326,20.471158621368023,-5.9039496020819096
22951,9,"EGARCH(p=1,o=1,q=1,Normal)",0.0002941775144227022,0.0002279252662918712,0.00017927083620242483,19.829552744465225,18.749306069716752,-5.708391608161556
22951,10,"EGARCH(p=1,o=1,q=1,Normal)",0.0001636470134281069,0.00012682143204384465,9.832152830063613e-05,22.94539136769052,21.64747124892505,-6.440600142604853
22951,11,"EGARCH(p=1,o=1,q=1,Normal)",0.0002634640142843133,0.0001898792974746053,0.00014546828486462922,24.560181763261284,23.39544284999309,-6.134271339773214
22951,12,"EGARCH(p=1,o=1,q=1,Normal)",0.00021828089422607663,0.00015438837519263403,0.0001261014750933183,17.183967519756553,16.705402731105885,-6.0093609602349805
22951,14,"EGARCH(p=1,o=1,q=1,Normal)",0.00015799268012003063,0.00010734071791326533,7.402407136374256e-05,24.530129853531996,23.044195831268052,-6.734417768063172
22951,15,"EGARCH(p=1,o=1,q=1,Normal)",0.00014123042511844197,9.847180124152682e-05,7.153841041117461e-05,27.468423636113382,25.074814843632108,-6.857265175105176
22951,16,"EGARCH(p=1,o=1,q=1,Normal)",0.0001546348539159334,0.00011527229132880318,8.784427145773033e-05,28.188834853962124,26.169885664515924,-6.746339559308923
22951,17,"EGARCH(p=1,o=1,q=1,Normal)",0.0001532787384815009,0.00011268700171887239,8.936257525086938e-05,22.373183730986444,21.50468312151243,-6.587062716823058
22951,18,"EGARCH(p=1,o=1,q=1,Normal)",0.000152023191859323,0.00011665632734880803,9.530336720256312e-05,27.238291151091143,25.487052773332973,-6.682485013760732
22951,19,"EGARCH(p=1,o=1,q=1,Normal)",0.0001357874481943413,0.00010262100734572988,8.450192348966886e-05,23.878340006023254,22.737942373441093,-6.720376708627899
22951,20,"EGARCH(p=1,o=1,q=1,Normal)",0.00014938802926757193,9.56303728377181e-05,6.83910198467944e-05,22.02839621837258,21.23304705844111,-6.747984804383183
22951,21,"EGARCH(p=1,o=1,q=1,Normal)",0.00013174499614673277,9.117779997876121e-05,6.939108490728953e-05,26.49800270873548,24.79195730573677,-6.947027085067575
22951,22,"EGARCH(p=1,o=1,q=1,Normal)",0.00012126544437561032,8.758893193758665e-05,6.72804715717405e-05,25.396520913546567,23.798969177048814,-6.946172671706236
22951,23,"EGARCH(p=1,o=1,q=1,Normal)",0.00013154465809632137,8.78685517737909e-05,6.377979656747985e-05,26.06132887896347,24.823387068165147,84.52327672074537
22951,24,"EGARCH(p=1,o=1,q=1,Normal)",0.0001686821577656582,0.00011551906090621418,9.060959842837243e-05,24.96129983577779,23.571299145979008,-6.594655386433597
22951,25,"EGARCH(p=1,o=1,q=1,Normal)",0.00022376013418934425,0.0001004765226756713,6.37688828601105e-05,30.102215673003197,27.96453559545453,881.2192918106781
22951,26,"EGARCH(p=1,o=1,q=1,Normal)",0.00012479961199361365,8.972129435796806e-05,6.844519287123016e-05,30.120162260046058,27.868937372563572,-7.038693927441505
22951,27,"EGARCH(p=1,o=1,q=1,Normal)",0.00012346394180061613,9.011220637572422e-05,7.01505979016396e-05,28.83792773941852,26.897979178853898,-7.022117322080011
22951,28,"EGARCH(p=1,o=1,q=1,Normal)",0.00013347031043373672,0.00010176107806687881,7.779271658160563e-05,25.69228514592627,24.257437541736714,-6.796159385636684
22951,29,"EGARCH(p=1,o=1,q=1,Normal)",0.00019884761106175495,0.00014512905486102328,0.00010684013975563114,25.986566762035295,24.30440861471361,-6.473414556066283
22951,30,"EGARCH(p=1,o=1,q=1,Normal)",0.0001332698882312081,0.00010124338378927353,7.740251512570437e-05,25.269543592705762,23.612332601492767,-6.777197101438678
22951,31,"EGARCH(p=1,o=1,q=1,Normal)",0.00010782326406101877,8.072081791689769e-05,6.279532784105287e-05,28.499941764724696,26.255345278343395,-7.118182025249176
22951,32,"EGARCH(p=1,o=1,q=1,Normal)",8.104787785253273e-05,5.888882867610187e-05,4.345458104122762e-05,25.59424927907766,23.65125820282753,-7.306019776955016
22951,33,"EGARCH(p=1,o=1,q=1,Normal)",0.00012193988886463437,8.813021179610374e-05,7.208891518040461e-05,29.552698977844194,26.917808277648504,87.70215897622481
22951,34,"EGARCH(p=1,o=1,q=1,Normal)",0.00011557729194173036,7.869390999011968e-05,5.551709824373135e-05,26.157816316425407,24.28163770937842,-7.122091047420229
22951,35,"EGARCH(p=1,o=1,q=1,Normal)",9.782337875880427e-05,6.692266179070024e-05,5.204546090328419e-05,25.35299171780499,24.04856108634923,-7.191232113996164
22951,36,"EGARCH(p=1,o=1,q=1,Normal)",0.0001419279156616233,0.00010568021736320842,7.874270531273146e-05,24.965508342765506,23.74267225393422,-6.736827038533525
22951,37,"EGARCH(p=1,o=1,q=1,Normal)",0.0003087119574855315,0.00012910673198455335,8.026349255696375e-05,26.17692351798312,25.515521549167953,673.6586536140913
22951,38,"EGARCH(p=1,o=1,q=1,Normal)",0.00016269511697392496,0.00012153018790873538,8.72281835592605e-05,25.664420471085908,24.26537606175741,-6.631426163261008
22951,39,"EGARCH(p=1,o=1,q=1,Normal)",0.00017621179343819195,0.00012374870000908178,9.306951024595658e-05,23.91062000882562,22.931081260349114,-6.568402811965303
48219,1,"EGARCH(p=1,o=1,q=1,Normal)",0.0002641651784511729,0.00020936376167973527,0.0001711113360535573,34.22733356730794,30.427159335773453,-6.251280109143811
48219,2,"EGARCH(p=1,o=1,q=1,Normal)",0.0003214080838478521,0.00024721020192215254,0.00020023454319788813,43.043964725683246,35.74920711324757,-6.2363764212292345
48219,3,"EGARCH(p=1,o=1,q=1,Normal)",0.00020633308339495533,0.00016405437908655908,0.00013760214862040503,41.4167889464154,33.94082721691065,-6.609258632546184
48219,4,"EGARCH(p=1,o=1,q=1,Normal)",0.00034765781776729113,0.00026477433957773893,0.00020956904592320594,29.507379329318017,27.03302660726605,-5.907593556403627
48219,5,"EGARCH(p=1,o=1,q=1,Normal)",0.00019976152012147696,0.00015699643845775606,0.00013675653493873865,37.70066006312882,30.324425453816062,-6.505481246050416
48219,6,"EGARCH(p=1,o=1,q=1,Normal)",0.0001798535224778536,0.00014068145710236248,0.0001129908822112275,35.587943495407856,30.624891134211,-6.671459185673065
48219,7,"EGARCH(p=1,o=1,q=1,Normal)",0.00016748219915659767,0.00013110923988691819,0.00010789439915806151,31.704197286487556,27.983309956216857,-6.599591692600384
48219,8,"EGARCH(p=1,o=1,q=1,Normal)",0.00023461107572911424,0.00017751095726575516,0.000143059704533323,23.008121441986358,21.386715506409796,-6.088371410031666
48219,9,"EGARCH(p=1,o=1,q=1,Normal)",0.00033521667151640704,0.00024591794900169294,0.0001894791169693885,25.025343233684545,23.247588756527957,-5.8862948695288875
48219,10,"EGARCH(p=1,o=1,q=1,Normal)",0.0002021614882488176,0.0001596117130647702,0.0001396118810246916,37.490675619759905,32.30131596164184,-6.57270019674502
48219,11,"EGARCH(p=1,o=1,q=1,Normal)",0.00021108095694955166,0.0001617848286221,0.0001281131536439969,28.507328519406965,25.92491394334354,-6.395020237695844
48219,12,"EGARCH(p=1,o=1,q=1,Normal)",0.00022068055036635946,0.0001725577505040061,0.00014226869764523566,31.028254737502834,27.69582194048441,-6.345978118182844
48219,14,"EGARCH(p=1,o=1,q=1,Normal)",0.0001880390798265454,0.0001435773895375178,0.00011477663350352479,41.547539032235775,35.01388958853005,-6.746893770370964
48219,15,"EGARCH(p=1,o=1,q=1,Normal)",0.00021863200865530793,0.00016839135126599093,0.00013719126458574233,39.50217213201233,33.621227629624634,-6.573805088253824
48219,16,"EGARCH(p=1,o=1,q=1,Normal)",0.00023450112953339098,0.000178853784744119,0.00014459897519939857,46.60456400488799,37.78310018727481,-6.604107145259222
48219,17,"EGARCH(p=1,o=1,q=1,Normal)",0.00024622774863001753,0.00019434891600004112,0.00015885722700440273,37.71071233969334,32.02856659829729,-6.361824976665288
48219,18,"EGARCH(p=1,o=1,q=1,Normal)",0.00019241704703385512,0.00015101183890600783,0.00012468995738237326,39.256004679064674,33.208392487427616,-6.620120000291525
48219,19,"EGARCH(p=1,o=1,q=1,Normal)",0.0002205818471055666,0.0001662792348506065,0.00013014702103305342,41.32267379121859,34.628500332477934,-6.618278905393137
48219,20,"EGARCH(p=1,o=1,q=1,Normal)",0.00019245516884062606,0.0001448270016942518,0.0001157339444527722,37.88712685725685,32.9443728015583,-6.718926732169659
48219,21,"EGARCH(p=1,o=1,q=1,Normal)",0.00019607610995820977,0.00014663266932729902,0.00011421625847798185,33.998314692479354,30.443136136906745,-6.625366028822103
48219,22,"EGARCH(p=1,o=1,q=1,Normal)",0.00014415437966828934,0.00011165848420139958,8.335820633336151e-05,33.25330024510354,30.117294789872695,-6.887042147389549
48219,23,"EGARCH(p=1,o=1,q=1,Normal)",0.00017746517565819342,0.00013448167056339148,9.848151666105723e-05,41.42592241482909,35.308685777931714,-4.600275247389526
48219,24,"EGARCH(p=1,o=1,q=1,Normal)",0.00024210307155353192,0.00018759566115370392,0.0001639597867550992,31.512885392507243,28.478532670327226,-6.3327853409320545
48219,25,"EGARCH(p=1,o=1,q=1,Normal)",0.00020481743136311075,0.00014883343708337691,0.00011682580689700297,43.01944825218479,37.20045520962358,156.0867985176909
48219,26,"EGARCH(p=1,o=1,q=1,Normal)",0.00015688654614163876,0.00012436384953233107,0.00010512852539132357,59.831280466014256,40.57142484195064,99.18592346969979
48219,27,"EGARCH(p=1,o=1,q=1,Normal)",0.00020316008657207506,0.0001551937883023942,0.00011170784084683441,45.24985024683834,37.0684944208181,-6.725508888535524
48219,28,"EGARCH(p=1,o=1,q=1,Normal)",0.00022787504136997976,0.00016968083985972434,0.00012864204674036884,43.80102149035987,37.09122493753098,-6.689442801440386
48219,29,"EGARCH(p=1,o=1,q=1,Normal)",0.00019483313228293604,0.00015089315176080228,0.0001233325902863525,38.5433160378381,33.14415318260343,-6.687673875548231
48219,30,"EGARCH(p=1,o=1,q=1,Normal)",0.00022199668426809598,0.00017055005542654242,0.00013735984728712329,14913.615811910582,40.524505008255744,102.0446666211561
48219,31,"EGARCH(p=1,o=1,q=1,Normal)",0.00022255843355352777,0.00017303187417941354,0.00013457871110291478,36.46398949591678,31.525732605778256,-6.490337040296723
