MAE,RMSE,MedAE,MAPE(%),stock,week,model
0.0012140944319149237,0.001342896769817395,0.0010646882507727915,98.33336090654402,8382.0,2,EGARCH
0.0007972748445106856,0.0008836278111256435,0.0007057687111513761,98.00289997788165,8382.0,6,EGARCH
0.0015187523927019904,0.0016919693428653166,0.001326675430733084,98.32282292853812,8382.0,11,EGARCH
0.0006686468800577523,0.0007055171035674845,0.0006313750046909577,98.20412427545683,8382.0,14,EGARCH
0.0008293427880521088,0.0008812702470440074,0.0007873783095723143,98.1015554802754,8382.0,15,EGARCH
0.0007631782056816588,0.0008265545226298848,0.00068520611138058,98.12201292739641,8382.0,16,EGARCH
0.0009976620467019698,0.0010516924181852968,0.000934524063409729,98.0913736804917,8382.0,17,EGARCH
0.0007761724648024554,0.0008347584013874893,0.0007219927416755631,98.13798322961728,8382.0,20,EGARCH
0.0006551671626906151,0.000695778583668085,0.0006206769490588666,98.00159588030151,8382.0,21,EGARCH
0.0006865439324348925,0.0007487933298007687,0.0006269493326617275,98.05900560683202,8382.0,26,EGARCH
0.0006637185274970073,0.0007221546032368457,0.0005964092195766068,98.13027032830196,8382.0,28,EGARCH
0.0004891619354678432,0.0005390761952806375,0.0004338343765873979,97.80845908633108,8382.0,38,EGARCH
0.0006509953773453723,0.0007043620795044141,0.0005720824610356109,98.33670619633253,9323.0,2,EGARCH
0.0013243903248542563,0.0013772990235517244,0.00126089247055119,98.3019481648064,9323.0,4,EGARCH
0.0011813112815912603,0.0012597824962742945,0.0010554958674228276,98.39059977330378,9323.0,8,EGARCH
0.0005798744008534052,0.0006240489356029631,0.0005242335708825845,98.05864403991393,9323.0,11,EGARCH
0.0005146690624615339,0.0005474756989471437,0.0004697109840472683,98.27325941772585,9323.0,17,EGARCH
0.00026417238219439735,0.00029665469163188765,0.00024139506872914606,inf,9323.0,23,EGARCH
0.0002837603295814176,0.0003094199250145033,0.00026196376693215313,inf,9323.0,26,EGARCH
0.0004378217737808484,0.00047987005655397935,0.00040091780555067606,97.91501100942301,22675.0,2,EGARCH
0.0006383572833331876,0.0006756735438911774,0.0006033437012636575,97.84834442065217,22675.0,4,EGARCH
0.0004275749654578704,0.00045801620833013125,0.00039268817228353735,97.60244929304865,22675.0,5,EGARCH
0.0008363368250643907,0.0008943790659161591,0.0007904777674043219,97.95558504880007,22675.0,8,EGARCH
0.0005213070512993362,0.0005497035032695207,0.0004959631458556869,97.99257045780796,22675.0,12,EGARCH
0.0003300337602944345,0.0003683499390452397,0.00030086912239294555,97.33587033587003,22675.0,19,EGARCH
0.0003016068762328525,0.0003471299853465308,0.0002602232639769308,97.28459132283102,22675.0,25,EGARCH
0.00025733757393027956,0.00027605886271812896,0.00024573270939939483,97.05386950774225,22675.0,26,EGARCH
0.00039905729596781544,0.0004374723244676669,0.0003599486428168368,97.48739713415294,22675.0,28,EGARCH
0.0002876345692458854,0.0003187173296186757,0.0002588490020120896,97.26045353163597,22675.0,29,EGARCH
0.00027189785710099933,0.00030038737937215044,0.00024696484207226003,97.23938245941282,22675.0,35,EGARCH
0.0007852888313732625,0.0008429463829582202,0.0007413861503730891,97.84562855609636,22729.0,4,EGARCH
0.0005638965229503192,0.0006016595533471772,0.0005537033895024504,98.09078907731868,22729.0,12,EGARCH
0.00032440791718282906,0.00036080035829568185,0.00030326573929904314,97.48898114468504,22729.0,14,EGARCH
0.00040977945642043864,0.00047853781314441244,0.00035371636381975965,97.32259611843364,22729.0,17,EGARCH
0.00021942313177889355,0.0002776637479595225,0.00018416885777953774,95.86422645758861,22729.0,21,EGARCH
0.00030007485165382705,0.0003633781235907175,0.00025988278614338316,96.65461760299192,22729.0,24,EGARCH
0.0002505719134512964,0.0002967596632256147,0.00021514893921820114,96.32396135568348,22729.0,28,EGARCH
0.00027274502687267137,0.00030861206791519164,0.00025330893131784895,96.34121041656822,22729.0,29,EGARCH
0.00025842529313308227,0.0002962296403634065,0.00023394742830155094,96.09587302821984,22729.0,30,EGARCH
0.0002955222789485936,0.00033539610750760987,0.0002595926848208064,96.91628729435196,22729.0,33,EGARCH
0.00024943479064953915,0.0002920924368168835,0.00021620560286199876,inf,22729.0,35,EGARCH
0.00038180725536762756,0.00040968265288285517,0.0003541435795816701,97.91217049616297,22753.0,6,EGARCH
