,stock,week,model,R2,RMSE,MAE,MedAE,MAPE(%),SMAPE(%),QLIKE
0,8382.0,2,AR-EWMA,0.1632108973132813,0.0005293974010744516,0.00039724928100334344,0.00033270552890149945,36.1629200308958,31.824030956581495,6.193096997445142
1,8382.0,2,Naive,0.20677280150360466,0.0005154334453292102,0.00037724876108552203,0.0002910135708900207,32.010823297018845,30.17841552390461,6.228845816843046
2,8382.0,6,AR-EWMA,0.17637669726022231,0.00034972262611197223,0.00026334928393689756,0.00020986385747282714,36.39511471477685,32.24465044589585,5.343891393386745
3,8382.0,6,Naive,0.14065130817196847,0.0003572268781075724,0.0002736482181922246,0.00022924977721239533,35.599348229917545,34.72146446832109,5.502056158605923
4,8382.0,11,AR-EWMA,0.27649731977212677,0.0006400711312727579,0.0004318085178675135,0.00036684973753872967,31.388584111703054,27.577138620999886,6.551569699345505
5,8382.0,11,Naive,0.3564744942243624,0.0006036581244884682,0.0004017788891563707,0.0003336305452115637,27.23867879913568,25.872045254211244,6.547494429032536
6,8382.0,14,AR-EWMA,-0.054862325720678395,0.00023296916322837214,0.00018681402083051902,0.00016833323602473502,31.408382483363557,27.40875445752305,4.9498543949533325
7,8382.0,14,Naive,-0.26676502577536176,0.0002552986869077432,0.0001940083374793395,0.0001466798656871101,29.474185585332553,28.788706369462208,5.066629680293953
8,8382.0,15,AR-EWMA,-0.27494324726929165,0.0003395180127316219,0.00026039145038061806,0.00022222217574689856,32.686221622442545,30.897371209223955,5.519601034186149
9,8382.0,15,Naive,-0.7643090343254806,0.0003993969303445208,0.0003025265421825283,0.0002344837090081881,37.68849182999168,35.916980444155946,5.793602431334921
10,8382.0,16,AR-EWMA,0.12107661516686186,0.00029946949083890046,0.00025544218400832153,0.000237963200724157,41.17972398705517,32.34679180332236,5.1894121466798575
11,8382.0,16,Naive,0.13926638509558364,0.00029635445244833154,0.0002257639719624543,0.0001752220082776049,30.594322365720565,29.165870523138864,5.300530111938305
12,8382.0,17,AR-EWMA,-0.4700270220179832,0.00040600652974394754,0.0003217430683964587,0.00027427361639124654,32.48372660933011,32.03120224671165,5.962959667797437
13,8382.0,17,Naive,-1.4525400087109737,0.0005244189899715011,0.00039559485221620725,0.00029602983691541046,41.637034497393124,36.12325488534224,6.082178441655979
14,8382.0,20,AR-EWMA,-0.02818914399945105,0.00031431206672823396,0.00024380133881676653,0.00020524024088797987,37.34741531582501,30.554507943994675,5.2773283398835895
15,8382.0,20,Naive,0.024942137035924072,0.00030608337517628665,0.00021414381670105195,0.00015787855725266482,29.986235231150935,26.839149389149647,5.305583107718213
16,8382.0,21,AR-EWMA,-3.6879442705873986,0.0005103450414746661,0.00044046011779720135,0.00041813371006266096,77.0557204673055,50.53201249018121,5.161488034514038
17,8382.0,21,Naive,-2.0158893691928665,0.0004093364158920261,0.0002745714599541185,0.00018493949012182159,41.232159720865646,34.02365672434909,5.069503355092233
18,8382.0,26,AR-EWMA,-0.10198681717488789,0.0003177183552783202,0.00021922190318206085,0.00015942516849340303,31.336603320294294,30.824442018198372,5.210987840517725
19,8382.0,26,Naive,-0.2896969872084352,0.0003437145751886486,0.00025746830729834845,0.0002073857453185469,40.37134452404476,38.458762070913814,5.4297925424847415
20,8382.0,28,AR-EWMA,-0.001699302376997558,0.0002865913941442885,0.0002178410349287023,0.00017744453785192057,36.7988270159021,31.91697627842483,5.000317222472189
21,8382.0,28,Naive,-0.08989616317822047,0.0002989420589143101,0.0002237876732860219,0.0001704528821679118,35.156112226655196,32.76173147121271,5.079988622611596
22,8382.0,38,AR-EWMA,0.23913570416189456,0.00019995446575377592,0.00014420283906653127,0.00011457804620348841,33.21051171846583,28.12746614106829,4.294225545687566
23,8382.0,38,Naive,0.22140670917253447,0.00020227063324189878,0.00014668464924194355,0.00010826872293347358,30.305075274978087,28.737174969587304,4.3611612862621465
24,9323.0,2,AR-EWMA,-0.5684904838169234,0.0003405802567954194,0.0002576912753655225,0.0002019148488592434,39.04621119582481,31.724676032973854,4.911954015746382
25,9323.0,2,Naive,-0.8728173196169386,0.000372157035029067,0.00022148502014925363,0.00012669743593511886,29.305179284027854,27.283417552163066,4.992442940436607
26,9323.0,4,AR-EWMA,-0.25521396620616543,0.0004249317991671015,0.00030275923064429245,0.00022117351181837072,21.01310468428002,22.44612929700534,6.3698923673599435
27,9323.0,4,Naive,-0.8562155431351859,0.00051674294165608,0.0003807863903093508,0.0002781723573927928,26.743545179876598,28.60848532513152,6.562105240881722
28,9323.0,8,AR-EWMA,0.16488585488170548,0.00040569660326966793,0.000264748625261246,0.00020410751794736114,22.39274103212049,21.37123967227782,6.1178314672772
29,9323.0,8,Naive,0.0759580824032684,0.0004267507450419656,0.0002871043417630653,0.00021092352767585455,23.45115071044948,24.64043940567621,6.218847336758932
30,9323.0,11,AR-EWMA,-0.35874050220293885,0.0002731268357500175,0.00020927344967973087,0.00017192949886403054,38.07449695807705,30.81030165573504,4.706317544639101
31,9323.0,11,Naive,-0.5556850207559147,0.00029225163377383776,0.0002037311609223028,0.00014753198202329833,34.27079709931642,29.84060206664023,4.765414843124093
32,9323.0,17,AR-EWMA,0.1635667973096806,0.00017199083328330462,0.00012606435517760486,9.89980655201393e-05,27.29168433574265,23.775608041339385,4.3972257117152305
33,9323.0,17,Naive,-0.09646468207079395,0.0001969187146102168,0.00014596843195392942,0.00012052834700988018,27.94826479903478,27.114966083025028,4.479676379814446
