,cluster_x,stock,week,model,R2,RMSE,MAE,MedAE,MAPE(%),SMAPE(%),QLIKE
0,0,8382.0,2,GARCH+LSTM,-0.29087478440439907,0.0006575304289589538,0.0005179616343238177,0.000430189792472461,42.524983092974644,57.26780299716261,9.15166791500662
2,0,8382.0,6,GARCH+LSTM,-0.39832058956017735,0.0004556829659181262,0.0003681908692281479,0.00032091873650469643,43.69485413005811,60.08445345672029,8.49915002609828
4,0,8382.0,11,GARCH+LSTM,-0.5511364455544299,0.0009372019182915513,0.0007490818083414923,0.0006614241800957025,49.10964248665397,66.74398550860913,11.105522746543535
6,0,8382.0,14,GARCH+LSTM,-3.3883890666544687,0.0004751744832225058,0.0004241832832248135,0.0003940061432418532,59.75652986210764,88.51059926754318,11.911892664314252
8,0,8382.0,15,GARCH+LSTM,-2.7744537664434836,0.0005841769927570795,0.0005327944402060103,0.0005129656682126614,62.449431273875874,93.95252579046921,14.231856652092024
10,0,8382.0,16,GARCH+LSTM,-1.4933525915831396,0.0005043928518467326,0.0004218808110805014,0.0003762764738190296,50.937136898648106,72.67273635021238,9.541439949147788
12,0,8382.0,17,GARCH+LSTM,-1.2617585772900997,0.000503608999443886,0.00040616304934832704,0.0003556325218893249,37.84554751573636,50.301484950218935,8.10001096244203
14,0,8382.0,20,GARCH+LSTM,-1.481236548037932,0.00048826841544477313,0.0004034594910599896,0.000361403875474858,47.51342986769629,66.86114258180874,9.294005167311292
16,0,8382.0,21,GARCH+LSTM,-1.6598839548349331,0.0003844182738224124,0.0003238335696496794,0.00031250150532764797,46.709429173859924,65.06395366508333,8.1521450417601
18,0,8382.0,26,GARCH+LSTM,-0.8662483605610589,0.0004134650699627974,0.00033698739987813697,0.0003070038929041314,46.96907027849368,65.32548475282861,8.389515666179177
20,0,8382.0,28,GARCH+LSTM,-1.297344985694604,0.00043401782665110946,0.00036627856422352407,0.0003250751401013531,52.23891997904513,74.59988201160601,9.334322456948335
22,0,8382.0,38,GARCH+LSTM,-0.5078726724447364,0.0002814879711185703,0.00022023514489465906,0.00018108408089708333,42.350786889925615,56.84193585990417,6.804164632968791
26,0,9323.0,4,GARCH+LSTM,-1.1594536028200562,0.0005573554978147801,0.00044920587309889173,0.000399806900989255,32.97114175506635,42.958619047475956,8.762261361900519
28,0,9323.0,8,GARCH+LSTM,-0.732606049531811,0.0005843571534678827,0.0004948444235663938,0.0004831358264047472,44.30323713222072,62.53321413182997,27.32769465117416
60,0,22729.0,4,GARCH+LSTM,-1.087712058695531,0.00044459498499245693,0.00035352940165117125,0.00030043259271385965,41.11058017270927,54.267416622245214,7.428836311419711
98,0,22771.0,4,GARCH+LSTM,-0.7300299606377656,0.000469677558959418,0.0003671648883625748,0.00030691538734199273,41.2764038893131,52.054889203644926,6.861368611527
100,0,22771.0,11,GARCH+LSTM,-0.4831343952684668,0.0003761060879582496,0.0002838739458838946,0.00023661083037409156,43.935344751319235,57.652202047593306,6.797986221184748
102,0,22771.0,12,GARCH+LSTM,-2.0747729258383956,0.00044709594101958723,0.0003886616501056352,0.00035640372076615063,54.65032295579023,79.0310995828174,11.676340474828061
106,0,22771.0,15,GARCH+LSTM,-0.5092095450729297,0.00026693506327219466,0.00019702046427081524,0.00015255759042128315,44.26458642525306,57.76382977605651,6.1776618176037115
110,0,22771.0,19,GARCH+LSTM,-1.2018138312962092,0.0003150279592668705,0.0002647796831171806,0.0002332741908795222,57.30038098692726,81.65791210193002,9.722339700199727
116,0,22771.0,29,GARCH+LSTM,-0.27811171297843185,0.00017893954454270647,0.00013105733010289274,9.100143113394838e-05,35.28155943893863,39.894175301999184,4.1807325144641485
126,0,22951.0,4,GARCH+LSTM,-0.5374522312078027,0.00039950976889698887,0.00032233204926663406,0.0002732894511977844,29.552254109718877,32.792770946860074,6.508849867856624
128,0,22951.0,8,GARCH+LSTM,-0.5445831597193107,0.0005657369140838227,0.00045743893845201223,0.00041745798456663475,44.186361892026326,61.226639873466006,9.086291854171536
130,0,22951.0,10,GARCH+LSTM,-0.6920242337056222,0.0003329388218303079,0.00028036574514477675,0.0002585776716691653,42.38428415644448,57.41404910833354,6.9857929477500065
132,0,22951.0,11,GARCH+LSTM,-1.2572507774215285,0.00045792936785649314,0.0003950188212268898,0.00037494541396262894,48.8243490501585,70.28389155611029,11.723671405759152
